mu,Results/kullback_n_list
-1.5,0.02011998880651709
-1.4375,0.022764438949470153
-1.375,0.02575416530642953
-1.3125,0.029058422488739806
-1.25,0.03273103603181584
-1.1875,0.03679892419645728
-1.125,0.041271478709909444
-1.0625,0.04643551038375642
-1.0,0.052035130496444156
-0.9375,0.05735624274975555
-0.875,0.06246995099799811
-0.8125,0.06748823454410771
-0.75,0.07203907860383124
-0.6875,0.07628050689123309
-0.625,0.07964444839412767
-0.5625,0.08134297933093777
-0.5,0.0777073912298439
-0.4375,0.06113433283473531
-0.375,0.03693373828849053
-0.3125,0.017842542653289866
-0.25,0.014722440385474591
-0.1875,0.017499950000936328
-0.125,0.03638820976452365
-0.0625,0.07941523349053856
0.0,0.10843184673193285
0.0625,0.14182473124363845
0.125,0.18590326659011283
0.1875,0.19300153822711938
0.25,0.19325571282841258
0.3125,0.19326978856640875
0.375,0.19327099885848933
0.4375,0.19327115604335146
0.5,0.19327118571466487
0.5625,0.19327119328310377
0.625,0.19327119569853185
0.6875,0.19327119660523348
0.75,0.19327119698890124
0.8125,0.19327119716669205
0.875,0.19327119725508074
0.9375,0.19327119730157163
1.0,0.1932711973272069
