mu,Results/distance_phi_list
-5.0,0.8493722175193171
-4.795918367346939,0.8475385477650179
-4.591836734693878,0.8455989680684403
-4.387755102040816,0.8435416187233946
-4.183673469387755,0.841352759341234
-3.979591836734694,0.8390163260221217
-3.7755102040816326,0.8365133484440949
-3.571428571428571,0.8338210818637889
-3.36734693877551,0.8309111818843898
-3.163265306122449,0.827746057370058
-2.9591836734693877,0.8242776559806445
-2.7551020408163263,0.8204487408820288
-2.5510204081632653,0.8161811360506354
-2.3469387755102042,0.8113561765700618
-2.142857142857143,0.8058166961569971
-1.9387755102040813,0.7993104608581627
-1.7346938775510203,0.7914313683102581
-1.5306122448979593,0.7814641714041679
-1.3265306122448979,0.7665040936975056
-1.1224489795918364,0.6406550491037994
-0.9183673469387754,0.5507326431507081
-0.7142857142857144,0.4627258229878526
-0.5102040816326525,0.3481523844102364
-0.3061224489795915,0.21110490125211365
-0.1020408163265305,0.7244323152438156
0.1020408163265305,1.190866524078876
0.3061224489795915,1.1954696638487818
0.5102040816326534,1.1898830563162437
0.7142857142857144,1.1849998469655871
0.9183673469387754,1.1806679828042566
1.1224489795918373,1.176779791471398
1.3265306122448983,1.1732563968984169
1.5306122448979593,1.170038228767022
1.7346938775510203,1.1670791666023705
1.9387755102040813,1.16434275929139
2.1428571428571432,1.1617996917021178
2.3469387755102042,1.1594260332083994
2.5510204081632653,1.1572019942608003
2.755102040816327,1.1551110232586816
2.959183673469388,1.153139137423539
3.163265306122449,1.1512744183120769
3.36734693877551,1.149506625519296
3.571428571428571,1.1478268967673337
3.775510204081632,1.146227512153094
3.979591836734695,1.1447017067327614
4.183673469387756,1.1432435200091695
4.387755102040817,1.141847673924112
4.591836734693878,1.1405094731072953
4.795918367346939,1.1392247226840384
5.0,1.1379896600543733
