mu,Results/distance_n_list
-5.0,8.81899329347426e-05
-4.795918367346939,0.00017019064482824253
-4.591836734693878,0.0002917119631664236
-4.387755102040816,0.0004557395505501728
-4.183673469387755,0.000662070070640333
-3.979591836734694,0.0009078603051106412
-3.7755102040816326,0.0011884553423511155
-3.571428571428571,0.0015004838175741188
-3.36734693877551,0.0018598558967307273
-3.163265306122449,0.0023488998700115357
-2.9591836734693877,0.0030697326978878963
-2.7551020408163263,0.0040148137893873245
-2.5510204081632653,0.005257164642783992
-2.3469387755102042,0.007175767880639525
-2.142857142857143,0.009930126242889248
-1.9387755102040813,0.014114577565208248
-1.7346938775510203,0.02044040519108635
-1.5306122448979593,0.029747624477255995
-1.3265306122448979,0.04250248864980451
-1.1224489795918364,0.058518023311651686
-0.9183673469387754,0.07693700185135838
-0.7142857142857144,0.08841125397371898
-0.5102040816326525,0.08419708493951077
-0.3061224489795915,0.014315586679346303
-0.1020408163265305,0.055494357516072935
0.1020408163265305,0.13325705138702498
0.3061224489795915,0.1442622779103988
0.5102040816326534,0.14426345875328742
0.7142857142857144,0.14426346531405865
0.9183673469387754,0.1442634656684432
1.1224489795918373,0.14426346571304985
1.3265306122448983,0.14426346572155727
1.5306122448979593,0.1442634657214699
1.7346938775510203,0.14426346572062
1.9387755102040813,0.1442634657213727
2.1428571428571432,0.14426346572165186
2.3469387755102042,0.1442634657216235
2.5510204081632653,0.14426346572132528
2.755102040816327,0.14426346572232882
2.959183673469388,0.14426346572211804
3.163265306122449,0.14426346572272306
3.36734693877551,0.14426346572231447
3.571428571428571,0.14426346572275234
3.775510204081632,0.14426346572214774
3.979591836734695,0.14426346572251525
4.183673469387756,0.1442634657229969
4.387755102040817,0.14426346572334356
4.591836734693878,0.14426346572353588
4.795918367346939,0.14426346572288234
5.0,0.14426346572318258
